,lat,lon,city,style,building_type,cooling_type,heating_type,price,number_of_beds,number_of_baths,extra_space,fire_place
351,43.8801166,-79.4392925,Richmond Hill,Detached,House,Central air conditioning,Forced air,1688000.0,4,3,1,1
352,43.6858146,-79.7599337,Brampton,Detached,House,Central air conditioning,Forced air,1599000.0,4,4,1,1
353,43.451291,-80.4927815,Kitchener,Detached,House,Central air conditioning,Forced air,1549000.0,4,3,0,0
354,43.8975558,-78.8635324,Oshawa,Detached,House,Central air conditioning,Forced air,1499900.0,4,4,0,1
355,44.118081,-79.618447,Bradford West Gwillimbury,Detached,House,Central air conditioning,Forced air,1499900.0,4,4,1,1
356,43.680156,-79.374616,Toronto,Detached,House,Central air conditioning,Forced air,1495000.0,4,1,0,1
357,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1479900.0,3,4,0,1
358,44.11697,-79.497616,East Gwillimbury,Detached,House,Central air conditioning,Forced air,1399900.0,4,3,0,1
359,43.660438,-79.465004,Toronto,Semi-Detached,House,Central air conditioning,Forced air,1399000.0,3,3,0,0
360,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,"Hot water radiator heat, Radiant heat",1395000.0,4,3,0,0
361,44.3893113,-79.6901736,Barrie,Detached,House,Central air conditioning,Forced air,1389900.0,2,3,1,1
362,43.71275,-79.406626,Toronto,Detached,House,Central air conditioning,Forced air,1388000.0,3,3,0,0
363,42.2450635,-83.0606534,LaSalle,Detached,House,Central air conditioning,Forced air,1349999.0,4,4,0,0
364,43.225693,-79.976692,Ancaster,Detached,House,Central air conditioning,Forced air,1349900.0,3,5,1,0
365,43.2560802,-79.8728583,Hamilton,Detached,House,Central air conditioning,Forced air,1349000.0,4,5,0,1
366,43.6858146,-79.7599337,Brampton,Detached,House,Central air conditioning,Forced air,1299800.0,4,4,1,1
367,43.8563707,-79.3376825,Markham,Detached,House,Central air conditioning,Forced air,1299000.0,4,4,1,1
368,43.64877,-79.38171,Toronto,Detached,House,Central air conditioning,Forced air,1299000.0,4,3,0,1
369,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,1298000.0,4,4,0,1
370,43.8563707,-79.3376825,Markham,Semi-Detached,House,Central air conditioning,Forced air,1288880.0,4,6,1,0
371,43.92856,-79.52694,King City,Detached,House,Central air conditioning,Forced air,1250000.0,3,2,1,0
372,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,Forced air,1249900.0,3,3,0,1
373,43.447436,-79.666672,Oakville,Detached,House,Central air conditioning,Forced air,1249000.0,2,2,1,1
374,43.87982,-78.9421751,Whitby,Detached,House,Central air conditioning,Forced air,1225000.0,3,3,1,1
375,43.626816,-79.516419,Toronto,Detached,House,Central air conditioning,Forced air,1200000.0,3,1,1,0
376,44.118081,-79.618447,Bradford West Gwillimbury,Detached,House,Central air conditioning,Forced air,1199000.0,4,3,0,0
377,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,Forced air,1150000.0,4,4,1,1
378,42.2450635,-83.0606534,LaSalle,Detached,House,"Central air conditioning, Fully air conditioned",Forced air,1149000.0,4,4,1,0
379,45.4208777,-75.6901106,Ottawa,Semi-Detached,House,Central air conditioning,Forced air,1129000.0,3,3,0,1
380,44.7382893,-80.12709935653204,Tiny,Detached,House,Central air conditioning,Forced air,1100000.0,2,3,1,1
